,_id,Date,CA,CAQF,CAName,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
360772,360773,20210517,S12000040,,West Lothian,Total,d,75 - 79,,5788.0,,Dose 1,,0,,0.0,,5870,,101.41672425708401,
360773,360774,20210517,S12000040,,West Lothian,Total,d,80 years and over,,7006.0,,Dose 1,,0,,0.0,,6801,,97.0739366257494,
360774,360775,20210517,S12000040,,West Lothian,Female,,18 - 29,,12158.0,,Dose 2,,51,,0.419476887645994,,1130,,9.29429182431321,
360775,360776,20210517,S12000040,,West Lothian,Female,,18 years and over,,73919.0,,Dose 2,,671,,0.907750375410923,,26843,,36.3140735128993,
360776,360777,20210517,S12000040,,West Lothian,Female,,30 - 39,,12702.0,,Dose 2,,54,,0.425129900803023,,1492,,11.746181703668698,
360777,360778,20210517,S12000040,,West Lothian,Female,,40 - 49,,12891.0,,Dose 2,,99,,0.7679776588317428,,2650,,20.556977736405198,
360778,360779,20210517,S12000040,,West Lothian,Female,,50 - 54,,7400.0,,Dose 2,,70,,0.9459459459459459,,2037,,27.527027027027,
360779,360780,20210517,S12000040,,West Lothian,Female,,55 - 59,,6648.0,,Dose 2,,124,,1.86522262334537,,2156,,32.4308062575211,
360780,360781,20210517,S12000040,,West Lothian,Female,,60 - 64,,5438.0,,Dose 2,,167,,3.0709819786686303,,1952,,35.895549834498,
360781,360782,20210517,S12000040,,West Lothian,Female,,65 - 69,,4826.0,,Dose 2,,55,,1.13966017405719,,4231,,87.67094902610859,
360782,360783,20210517,S12000040,,West Lothian,Female,,70 - 74,,4522.0,,Dose 2,,39,,0.8624502432551969,,4187,,92.5917735515259,
360783,360784,20210517,S12000040,,West Lothian,Female,,75 - 79,,3186.0,,Dose 2,,5,,0.156936597614564,,3130,,98.2423101067169,
360784,360785,20210517,S12000040,,West Lothian,Female,,80 years and over,,4148.0,,Dose 2,,7,,0.16875602700096398,,3878,,93.4908389585342,
360785,360786,20210517,S12000040,,West Lothian,Male,,18 - 29,,12945.0,,Dose 2,,28,,0.21629972962533803,,283,,2.18617226728467,
360786,360787,20210517,S12000040,,West Lothian,Male,,18 years and over,,69570.0,,Dose 2,,582,,0.8365674859853379,,19097,,27.4500503090413,
360787,360788,20210517,S12000040,,West Lothian,Male,,30 - 39,,11788.0,,Dose 2,,40,,0.339328130302002,,454,,3.8513742789277203,
360788,360789,20210517,S12000040,,West Lothian,Male,,40 - 49,,12377.0,,Dose 2,,72,,0.5817241657913871,,1227,,9.913549325361561,
360789,360790,20210517,S12000040,,West Lothian,Male,,50 - 54,,7004.0,,Dose 2,,77,,1.09937178754997,,1152,,16.4477441462022,
360790,360791,20210517,S12000040,,West Lothian,Male,,55 - 59,,6447.0,,Dose 2,,140,,2.17155266015201,,1431,,22.196370404839502,
360791,360792,20210517,S12000040,,West Lothian,Male,,60 - 64,,5206.0,,Dose 2,,147,,2.82366500192086,,1551,,29.792547061083397,
360792,360793,20210517,S12000040,,West Lothian,Male,,65 - 69,,4287.0,,Dose 2,,60,,1.39958012596221,,3927,,91.6025192442267,
360793,360794,20210517,S12000040,,West Lothian,Male,,70 - 74,,4056.0,,Dose 2,,13,,0.32051282051282,,3900,,96.1538461538462,
360794,360795,20210517,S12000040,,West Lothian,Male,,75 - 79,,2602.0,,Dose 2,,3,,0.115295926210607,,2526,,97.07916986933131,
360795,360796,20210517,S12000040,,West Lothian,Male,,80 years and over,,2858.0,,Dose 2,,2,,0.0699790062981106,,2646,,92.5822253324003,
360796,360797,20210517,S12000040,,West Lothian,Total,d,18 - 29,,25103.0,,Dose 2,,79,,0.31470342190176503,,1413,,5.628809305660679,
360797,360798,20210517,S12000040,,West Lothian,Total,d,18 years and over,,143489.0,,Dose 2,,1253,,0.873237669786534,,45940,,32.0163915003938,
360798,360799,20210517,S12000040,,West Lothian,Total,d,30 - 39,,24490.0,,Dose 2,,94,,0.383830134748877,,1946,,7.94610044916292,
360799,360800,20210517,S12000040,,West Lothian,Total,d,40 - 49,,25268.0,,Dose 2,,171,,0.6767452904859901,,3877,,15.3435174924806,
360800,360801,20210517,S12000040,,West Lothian,Total,d,50 - 54,,14404.0,,Dose 2,,147,,1.02054984726465,,3189,,22.139683421271897,
360801,360802,20210517,S12000040,,West Lothian,Total,d,50 years and over,,68628.0,,Dose 2,,909,,1.32453226088477,,38704,,56.396805968409396,
360802,360803,20210517,S12000040,,West Lothian,Total,d,55 - 59,,13095.0,,Dose 2,,264,,2.0160366552119102,,3587,,27.3921344024437,
360803,360804,20210517,S12000040,,West Lothian,Total,d,60 - 64,,10644.0,,Dose 2,,314,,2.9500187899286003,,3503,,32.9105599398722,
360804,360805,20210517,S12000040,,West Lothian,Total,d,65 - 69,,9113.0,,Dose 2,,115,,1.26193350159113,,8158,,89.5204652693954,
360805,360806,20210517,S12000040,,West Lothian,Total,d,70 - 74,,8578.0,,Dose 2,,52,,0.606201911867568,,8087,,94.2760550244812,
360806,360807,20210517,S12000040,,West Lothian,Total,d,75 - 79,,5788.0,,Dose 2,,8,,0.138217000691085,,5656,,97.71941948859708,
360807,360808,20210517,S12000040,,West Lothian,Total,d,80 years and over,,7006.0,,Dose 2,,9,,0.12846131886954001,,6524,,93.12018270054241,
360808,360809,20210517,S12000041,,Angus,Female,,18 - 29,,6679.0,,Dose 1,,4,,0.059889204970803994,,2059,,30.8279682587214,
360809,360810,20210517,S12000041,,Angus,Female,,18 years and over,,48949.0,,Dose 1,,30,,0.0612882796379906,,38162,,77.9627775848332,
360810,360811,20210517,S12000041,,Angus,Female,,30 - 39,,6696.0,,Dose 1,,8,,0.1194743130227,,2572,,38.4109916367981,
360811,360812,20210517,S12000041,,Angus,Female,,40 - 49,,7227.0,,Dose 1,,18,,0.24906600249066,,5926,,81.99806281998059,
360812,360813,20210517,S12000041,,Angus,Female,,50 - 54,,4497.0,,Dose 1,,0,,0.0,,4100,,91.17189237269291,
